"Time","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 01:00:00,3.98 KiB,4.69 KiB,5.00 KiB
2025-05-13 01:00:30,3.81 KiB,4.33 KiB,5.53 KiB
2025-05-13 01:01:00,96.7 KiB,11.1 KiB,5.19 KiB
2025-05-13 01:01:30,376 KiB,364 KiB,175 KiB
2025-05-13 01:02:00,1.72 MiB,911 KiB,260 KiB
2025-05-13 01:02:30,4.66 MiB,4.51 MiB,3.00 MiB
2025-05-13 01:03:00,6.05 MiB,5.44 MiB,4.76 MiB
2025-05-13 01:03:30,9.48 MiB,8.69 MiB,7.42 MiB
2025-05-13 01:04:00,10.9 MiB,10.4 MiB,9.23 MiB
2025-05-13 01:04:30,20.7 MiB,18.9 MiB,12.7 MiB
2025-05-13 01:05:00,18.0 MiB,19.7 MiB,21.2 MiB
2025-05-13 01:05:30,19.1 MiB,17.4 MiB,18.4 MiB
2025-05-13 01:06:00,17.9 MiB,18.9 MiB,17.6 MiB
2025-05-13 01:06:30,23.9 MiB,22.3 MiB,21.0 MiB
2025-05-13 01:07:00,22.7 MiB,23.9 MiB,22.5 MiB
2025-05-13 01:07:30,35.1 MiB,30.1 MiB,26.3 MiB
2025-05-13 01:08:00,36.3 MiB,39.9 MiB,35.7 MiB
2025-05-13 01:08:30,31.5 MiB,30.7 MiB,35.1 MiB
2025-05-13 01:09:00,31.0 MiB,31.1 MiB,30.6 MiB
2025-05-13 01:09:30,37.1 MiB,35.3 MiB,33.0 MiB
2025-05-13 01:10:00,36.1 MiB,36.9 MiB,36.2 MiB
2025-05-13 01:10:30,40.7 MiB,39.1 MiB,37.9 MiB
2025-05-13 01:11:00,38.9 MiB,40.1 MiB,39.2 MiB
2025-05-13 01:11:30,43.9 MiB,42.4 MiB,41.3 MiB
2025-05-13 01:12:00,42.0 MiB,43.1 MiB,42.9 MiB
2025-05-13 01:12:30,48.3 MiB,45.7 MiB,44.1 MiB
2025-05-13 01:13:00,46.1 MiB,47.8 MiB,47.7 MiB
2025-05-13 01:13:30,50.0 MiB,48.8 MiB,48.0 MiB
2025-05-13 01:14:00,48.4 MiB,49.3 MiB,49.4 MiB
2025-05-13 01:14:30,58.1 MiB,52.3 MiB,49.6 MiB
2025-05-13 01:15:00,53.6 MiB,53.9 MiB,60.6 MiB
2025-05-13 01:15:30,59.6 MiB,59.6 MiB,56.8 MiB
2025-05-13 01:16:00,56.5 MiB,62.3 MiB,63.0 MiB
2025-05-13 01:16:30,56.4 MiB,58.5 MiB,57.9 MiB
2025-05-13 01:17:00,63.0 MiB,61.3 MiB,61.3 MiB
2025-05-13 01:17:30,64.6 MiB,65.7 MiB,63.7 MiB
2025-05-13 01:18:00,67.8 MiB,65.7 MiB,65.3 MiB
2025-05-13 01:18:30,63.8 MiB,55.9 MiB,65.3 MiB
2025-05-13 01:19:00,52.8 MiB,59.8 MiB,55.4 MiB
2025-05-13 01:19:30,80.4 MiB,76.8 MiB,65.0 MiB
2025-05-13 01:20:00,66.8 MiB,66.1 MiB,76.5 MiB
2025-05-13 01:20:30,66.6 MiB,67.1 MiB,67.8 MiB
2025-05-13 01:21:00,67.6 MiB,72.5 MiB,69.8 MiB
2025-05-13 01:21:30,72.4 MiB,62.7 MiB,63.5 MiB
2025-05-13 01:22:00,62.4 MiB,62.2 MiB,72.1 MiB
2025-05-13 01:22:30,66.7 MiB,65.3 MiB,66.5 MiB
2025-05-13 01:23:00,72.6 MiB,68.7 MiB,66.5 MiB
2025-05-13 01:23:30,68.7 MiB,69.1 MiB,66.5 MiB
2025-05-13 01:24:00,68.8 MiB,66.5 MiB,71.3 MiB
2025-05-13 01:24:30,68.1 MiB,67.0 MiB,69.1 MiB
2025-05-13 01:25:00,74.6 MiB,87.5 MiB,68.3 MiB
