"Time","172.30.0.22:9100","172.30.0.24:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 00:21:30,63.6 MiB,21.9 MiB,29.8 MiB,64.5 MiB,11.9 MiB,18.3 MiB,19.0 MiB,18.0 MiB
2025-05-13 00:22:00,89.6 MiB,27.3 MiB,39.0 MiB,96.3 MiB,11.9 MiB,21.5 MiB,20.2 MiB,18.3 MiB
2025-05-13 00:22:30,102 MiB,33.7 MiB,42.8 MiB,106 MiB,17.6 MiB,23.2 MiB,23.0 MiB,23.2 MiB
2025-05-13 00:23:00,113 MiB,36.7 MiB,49.0 MiB,111 MiB,21.6 MiB,27.3 MiB,25.0 MiB,22.7 MiB
2025-05-13 00:23:30,132 MiB,41.9 MiB,60.1 MiB,135 MiB,23.2 MiB,35.4 MiB,34.8 MiB,29.8 MiB
2025-05-13 00:24:00,113 MiB,39.2 MiB,48.3 MiB,98.5 MiB,26.6 MiB,30.7 MiB,34.3 MiB,35.5 MiB
2025-05-13 00:24:30,69.7 MiB,19.6 MiB,43.0 MiB,76.7 MiB,19.7 MiB,29.9 MiB,28.7 MiB,29.4 MiB
2025-05-13 00:25:00,129 MiB,24.9 MiB,62.5 MiB,124 MiB,19.1 MiB,33.1 MiB,33.7 MiB,30.1 MiB
2025-05-13 00:25:30,144 MiB,19.8 MiB,80.0 MiB,159 MiB,27.0 MiB,36.7 MiB,35.1 MiB,34.1 MiB
2025-05-13 00:26:00,130 MiB,37.6 MiB,59.4 MiB,107 MiB,33.7 MiB,36.8 MiB,37.7 MiB,36.6 MiB
2025-05-13 00:26:30,137 MiB,27.5 MiB,66.6 MiB,137 MiB,25.2 MiB,39.7 MiB,38.1 MiB,38.1 MiB
2025-05-13 00:27:00,157 MiB,49.7 MiB,67.2 MiB,157 MiB,32.1 MiB,39.8 MiB,40.7 MiB,39.4 MiB
2025-05-13 00:27:30,147 MiB,46.7 MiB,65.8 MiB,144 MiB,27.8 MiB,41.7 MiB,40.5 MiB,40.9 MiB
2025-05-13 00:28:00,150 MiB,50.1 MiB,65.1 MiB,145 MiB,30.7 MiB,40.2 MiB,41.5 MiB,40.8 MiB
2025-05-13 00:28:30,145 MiB,49.7 MiB,66.1 MiB,150 MiB,30.0 MiB,41.9 MiB,40.6 MiB,41.1 MiB
2025-05-13 00:29:00,154 MiB,44.8 MiB,69.1 MiB,144 MiB,29.6 MiB,42.6 MiB,43.2 MiB,41.3 MiB
2025-05-13 00:29:30,152 MiB,44.8 MiB,70.0 MiB,156 MiB,29.7 MiB,45.3 MiB,44.2 MiB,44.2 MiB
2025-05-13 00:30:00,165 MiB,50.6 MiB,76.7 MiB,162 MiB,29.4 MiB,46.6 MiB,47.0 MiB,44.8 MiB
2025-05-13 00:30:30,158 MiB,46.5 MiB,75.0 MiB,142 MiB,34.6 MiB,48.6 MiB,47.3 MiB,47.7 MiB
2025-05-13 00:31:00,27.7 MiB,14.8 MiB,34.4 MiB,13.5 MiB,26.4 MiB,45.5 MiB,46.2 MiB,47.2 MiB
2025-05-13 00:31:30,10.2 MiB,5.77 MiB,35.1 MiB,14.4 MiB,4.64 MiB,47.2 MiB,44.7 MiB,46.5 MiB
2025-05-13 00:32:00,84.5 MiB,25.0 MiB,59.9 MiB,152 MiB,6.08 MiB,46.7 MiB,46.4 MiB,46.2 MiB
2025-05-13 00:32:30,288 MiB,86.0 MiB,123 MiB,325 MiB,37.6 MiB,48.6 MiB,51.0 MiB,46.5 MiB
2025-05-13 00:33:00,308 MiB,114 MiB,107 MiB,223 MiB,52.6 MiB,49.5 MiB,51.8 MiB,50.4 MiB
2025-05-13 00:33:30,18.9 MiB,11.6 MiB,34.7 MiB,7.22 MiB,39.0 MiB,45.8 MiB,45.2 MiB,49.6 MiB
2025-05-13 00:34:00,9.63 MiB,6.45 MiB,34.0 MiB,10.8 MiB,4.14 MiB,44.0 MiB,45.5 MiB,47.5 MiB
2025-05-13 00:34:30,111 MiB,27.3 MiB,61.6 MiB,152 MiB,2.84 MiB,45.8 MiB,46.1 MiB,47.9 MiB
2025-05-13 00:35:00,212 MiB,72.9 MiB,88.2 MiB,218 MiB,35.8 MiB,47.1 MiB,49.1 MiB,47.6 MiB
