"Time","172.30.0.118:9100","172.30.0.120:9100","172.30.0.12:9100","172.30.0.20:9100","172.30.0.34:9100","172.30.0.37:9100","172.30.0.38:9100","172.30.0.60:9100","172.30.0.77:9100","172.30.0.84:9100","172.30.0.88:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 10:03:30,28.5 GiB,30.5 GiB,30.3 GiB,30.9 GiB,29.6 GiB,30.2 GiB,28.7 GiB,3.44 GiB,29.8 GiB,3.50 GiB,31.1 GiB,27.0 GiB,30.4 GiB,28.9 GiB
2025-05-13 10:04:00,29.6 GiB,30.8 GiB,30.5 GiB,30.9 GiB,30.6 GiB,31.1 GiB,28.8 GiB,3.42 GiB,30.9 GiB,3.49 GiB,31.0 GiB,26.2 GiB,28.8 GiB,26.5 GiB
2025-05-13 10:04:30,31.1 GiB,31.1 GiB,31.0 GiB,30.8 GiB,31.0 GiB,31.0 GiB,30.1 GiB,3.43 GiB,31.0 GiB,3.54 GiB,31.1 GiB,30.2 GiB,27.9 GiB,30.8 GiB
2025-05-13 10:05:00,30.9 GiB,31.0 GiB,31.0 GiB,30.8 GiB,31.0 GiB,30.9 GiB,31.0 GiB,3.75 GiB,30.9 GiB,3.52 GiB,31.0 GiB,30.8 GiB,27.8 GiB,29.3 GiB
2025-05-13 10:05:30,30.9 GiB,30.9 GiB,30.9 GiB,30.8 GiB,30.9 GiB,30.9 GiB,31.0 GiB,3.46 GiB,30.8 GiB,3.75 GiB,30.8 GiB,30.8 GiB,28.2 GiB,30.6 GiB
2025-05-13 10:06:00,30.8 GiB,30.9 GiB,30.8 GiB,30.8 GiB,30.9 GiB,30.8 GiB,31.0 GiB,3.92 GiB,30.8 GiB,3.55 GiB,30.8 GiB,30.1 GiB,27.1 GiB,30.5 GiB
2025-05-13 10:06:30,30.8 GiB,30.8 GiB,30.8 GiB,30.8 GiB,30.8 GiB,30.8 GiB,31.0 GiB,3.46 GiB,30.8 GiB,3.99 GiB,30.8 GiB,28.7 GiB,30.7 GiB,30.3 GiB
2025-05-13 10:07:00,30.8 GiB,30.8 GiB,30.8 GiB,,30.8 GiB,30.8 GiB,30.9 GiB,5.10 GiB,30.8 GiB,5.22 GiB,30.8 GiB,28.0 GiB,30.3 GiB,29.5 GiB
2025-05-13 10:07:30,30.8 GiB,30.8 GiB,30.8 GiB,,30.8 GiB,30.8 GiB,30.9 GiB,6.37 GiB,30.8 GiB,5.75 GiB,30.8 GiB,29.4 GiB,30.2 GiB,29.3 GiB
2025-05-13 10:08:00,30.8 GiB,31.0 GiB,30.8 GiB,,30.8 GiB,30.8 GiB,30.8 GiB,7.20 GiB,30.8 GiB,4.94 GiB,30.9 GiB,30.1 GiB,30.8 GiB,30.7 GiB
