"Time","177.93.133.115:19090","177.93.133.115:19091","177.93.133.115:19092","177.93.133.115:19093","177.93.133.115:19094","177.93.133.115:19095","177.93.133.115:19096","177.93.133.115:19097","177.93.133.115:19098","177.93.133.115:19099","177.93.133.115:19100"
2025-05-13 09:40:00,0,,,,,,,,,,
2025-05-13 09:40:30,0,,,,,,,,,,
2025-05-13 09:41:00,4005,,,,,,,,,,
2025-05-13 09:41:30,104130,,,,,,,,,,
2025-05-13 09:42:00,303723,,,,,,,,,,
2025-05-13 09:42:30,993240,,,,,,,,,,
2025-05-13 09:43:00,1662075,,,,,,,,,,
2025-05-13 09:43:30,2366955,152190,,,,,,,,,
2025-05-13 09:44:00,2987730,1229535,,,,,,,,,
2025-05-13 09:44:30,3348180,2162700,,,,,,,,,
2025-05-13 09:45:00,3648555,2519145,,,,,,,,,
2025-05-13 09:45:30,4011952,2839545,,,,,,,,,
2025-05-13 09:46:00,4409505,3167955,,,,,,,,,
2025-05-13 09:46:30,4737915,3508380,336420,12015,,,,,,,
2025-05-13 09:47:00,5050305,3812760,1305630,1038818,,,,,,,
2025-05-13 09:47:30,5210505,4053060,2126655,2042550,,,,,,,
2025-05-13 09:48:00,5386725,4221270,2322900,2246805,,,,,,,
2025-05-13 09:48:30,5542920,4333410,2483100,2407005,,,,,,,
2025-05-13 09:49:00,5715135,4521645,2663325,2607255,,,,,,,
2025-05-13 09:49:30,5867325,4637790,2831535,2751435,,,,,,,
2025-05-13 09:50:00,6063570,4777965,2995740,2931660,,,,,,,
2025-05-13 09:50:30,6271830,4946175,3159945,3115890,,,,,,,
2025-05-13 09:51:00,6408000,5110380,3308130,3292110,,,,,,,
2025-05-13 09:51:30,6616260,5250555,3512385,3448305,,,,,,,
2025-05-13 09:52:00,6792480,5402745,3704625,3604500,,,,,,,
2025-05-13 09:52:30,7020765,5590980,3824775,3748680,716895,0,,,,,
2025-05-13 09:53:00,7164945,5751180,3920895,3900870,1686105,892720,364455,,,,
2025-05-13 09:53:30,0,5883345,4000995,4033035,2102625,1894365,1353690,0,,,
2025-05-13 09:54:00,1061325,,4097115,4081095,2218770,2066580,2054565,921150,,,
2025-05-13 09:54:30,2101615,760950,4153185,4173210,2358945,2150685,2130660,1880009,,,
2025-05-13 09:55:00,2314890,1790235,4213260,4281345,2455065,2266830,2230785,2058570,,,
2025-05-13 09:55:30,2378970,2278845,4301370,4357440,2571210,2358945,2314890,2114640,,,
2025-05-13 09:56:00,2463075,2358945,4433535,760950,2631285,2435040,2411010,2178720,,,
2025-05-13 09:56:30,2543175,2463075,4545675,1950435,2711385,2527155,2483100,2250810,,,
2025-05-13 09:57:00,2623275,2551185,4625775,2539170,2811510,2631285,2563200,2334915,,,
2025-05-13 09:57:30,2735415,2651310,0,2615265,2899620,2727405,2627280,2419020,,,
2025-05-13 09:58:00,2815515,2715390,1373715,2671335,2971710,2787480,2687355,2519145,,,
2025-05-13 09:58:30,2903625,2787480,2870583,2799495,3123900,2867580,2755440,2611260,,,
2025-05-13 09:59:00,3011760,2863575,3067830,2863575,3171960,2947680,2835540,2691360,,,
2025-05-13 09:59:30,3087855,2971710,3135915,2955690,644805,3047805,2899620,2771460,,,
2025-05-13 10:00:00,3191985,3043800,3216015,3019770,2379862,3139920,2963700,2847555,,,
2025-05-13 10:00:30,3288105,3131910,3300120,3155940,3420270,352440,3027780,2939670,,,
2025-05-13 10:01:00,352440,3220020,3384225,3216015,3508380,2106630,3111885,3023775,,,
2025-05-13 10:01:30,2146680,3300120,0,3308130,3592485,3368205,236295,3127905,,,
2025-05-13 10:02:00,3548430,3368205,1284412,3379801,115288,3472335,2322900,3208005,,,
2025-05-13 10:02:30,3628530,0,3089342,3440295,1950435,3532410,3328155,3264075,,,
2025-05-13 10:03:00,3716640,1521900,3720645,949185,3908880,3592485,3412260,3328155,0,,
2025-05-13 10:03:30,3824775,3446345,3796740,3560445,3956940,20025,3504375,3428280,835029,,
2025-05-13 10:04:00,1581975,3640545,88110,320335,30118,2609149,3592485,0,1831045,,
2025-05-13 10:04:30,3659477,3716640,2026530,3720645,0,3828780,3724650,1810260,2042550,512640,16020
2025-05-13 10:05:00,4029030,340425,4025025,0,1097370,3940920,44062,3620515,2078595,1493865,1037295
2025-05-13 10:05:30,4057065,2272296,2118645,1646055,2158695,0,2322900,3704625,2106630,2050560,1962450
2025-05-13 10:06:00,2078595,3864825,2134665,0,2194740,276345,3860820,112140,2138670,2086605,1994490
2025-05-13 10:06:30,2102625,0,2150685,1938420,2206755,1930410,0,2018520,2154690,2106630,2002500
2025-05-13 10:07:00,2118645,874721,2190735,60075,2278845,2114640,2054495,3856815,2186730,2126655,2022525
2025-05-13 10:07:30,2158695,272340,2222775,784980,2330910,2150685,247576,863033,348435,2170710,2074590
2025-05-13 10:08:00,2198745,1257570,253132,2030535,340425,2186730,528660,2945809,1427863,120150,2086605
2025-05-13 10:08:30,2210760,2022525,1437795,2062575,1474946,2218770,2014515,440550,2266830,1285605,0
2025-05-13 10:09:00,612765,2078595,2302875,0,2403005,0,2058570,1437795,2294865,2238795,813015
2025-05-13 10:09:30,1716719,2098620,2354940,1049310,2439045,1118091,2082600,2110635,0,51695,1974590
2025-05-13 10:10:00,2326905,2122650,227306,2090610,276345,2266830,129129,2130660,1822275,1217520,2178720
2025-05-13 10:10:30,2342925,0,2386980,2166705,1477845,2286855,1289610,2142675,164205,1093365,2202750
2025-05-13 10:11:00,1301313,1037295,34713,2170710,864631,2314890,2130660,540675,1337670,2346930,252315
2025-05-13 10:11:30,2362950,2166705,1195638,1927981,2190323,0,2130660,801000,2386980,2346930,2210760
2025-05-13 10:12:00,2374965,2198745,272340,1457820,2547180,1634040,2138670,1902101,0,2374965,2214765
2025-05-13 10:12:30,2374965,2218770,2427030,163202,1476312,2250810,328410,2170710,1124907,748935,1453815
2025-05-13 10:13:00,2398995,516645,136170,1253565,2595240,0,1357695,427162,392490,1962450,2258820
2025-05-13 10:13:30,917145,2270835,701583,2286855,2615265,1057320,2190735,1571531,2354940,2459070,2286855
2025-05-13 10:14:00,2098620,546720,1898370,2290860,736920,2423025,2210760,2230785,2503125,2483100,2294865
2025-05-13 10:14:30,2459070,1726155,2511135,402751,2026530,2431035,2234790,2262825,280350,2495115,272340
2025-05-13 10:15:00,2459070,2294865,2511135,1505880,0,2314073,548685,1105380,624780,277897,1509885
2025-05-13 10:15:30,69181,238725,2515140,2298870,1321650,2443050,2234790,2266830,1930410,2495115,0
2025-05-13 10:16:00,1317645,2306880,1690110,2298870,2607255,260325,2234790,2022525,2114640,2499120,2334915
2025-05-13 10:16:30,2467080,2322900,2551185,1585801,837045,2455065,2238795,2282850,1421775,625592,2306880
2025-05-13 10:17:00,2499120,0,2595240,2362950,2150685,2487105,2282850,2314890,2583225,1918395,12015
2025-05-13 10:17:30,2519145,1021275,432540,1235761,2743425,0,2306880,2330910,2598661,2587230,2398995
2025-05-13 10:18:00,2014515,2226030,2643300,2398995,320106,1136207,2342925,162753,444555,0,2419020
2025-05-13 10:18:30,605227,2398995,2671167,2403000,1674090,2607255,672322,2042550,1910385,0,
2025-05-13 10:19:00,1894365,2403000,449724,2407005,2771460,0,1910385,2390985,2635290,1187077,1573965
2025-05-13 10:19:30,2571210,883022,2555478,601820,2033882,1165455,0,0,676845,2643300,1638849
2025-05-13 10:20:00,2571210,2047343,2014515,2407005,1329666,659055,2362950,2390985,1444099,2643300,2443050
2025-05-13 10:20:30,1303596,2403000,2671335,1409760,2322223,2631285,2362950,2390985,2635290,2643300,2443050
2025-05-13 10:21:00,2568863,298489,2671335,2407005,404755,0,2362950,2390985,1413765,238621,12015
2025-05-13 10:21:30,,2403000,2671335,2407005,0,1271773,2362950,590757,123669,1640457,1185480
2025-05-13 10:22:00,660052,0,,2407005,1025280,0,180225,2390985,1441551,1273590,2443050
2025-05-13 10:22:30,1882290,2403000,688860,2407005,2435040,1195339,2362950,2390985,2635290,2601414,2443050
2025-05-13 10:23:00,2571210,0,2101040,2407005,0,2631285,2362950,2390985,502771,408510,2443050
2025-05-13 10:23:30,2571210,1049310,696870,1855379,0,0,0,2390985,2635290,2643300,388485
2025-05-13 10:24:00,2571210,2198745,252315,2407005,1207662,2532304,1005255,1182423,2635290,0,1626025
2025-05-13 10:24:30,579137,2403000,1642133,54424,2719395,2631285,2193232,2390985,910700,2198745,2443050
2025-05-13 10:25:00,1837404,2403000,796995,2407005,1998227,0,2362950,2390985,2356267,2603250,2443050
