"Time","count(synthetic_metric_0{label_0=""value_0"", label_1=""value_1""})"
2025-05-13 09:40:45,6
2025-05-13 09:41:00,23
2025-05-13 09:41:15,39
2025-05-13 09:41:30,54
2025-05-13 09:41:45,106
2025-05-13 09:42:00,201
2025-05-13 09:42:15,294
2025-05-13 09:42:30,377
2025-05-13 09:42:45,458
2025-05-13 09:43:00,545
2025-05-13 09:43:15,630
2025-05-13 09:43:30,771
2025-05-13 09:43:45,912
2025-05-13 09:44:00,966
2025-05-13 09:44:15,1034
2025-05-13 09:44:30,1084
2025-05-13 09:44:45,1126
2025-05-13 09:45:00,1222
2025-05-13 09:45:15,1323
2025-05-13 09:45:30,1406
2025-05-13 09:45:45,1496
2025-05-13 09:46:00,1584
2025-05-13 09:46:15,1662
2025-05-13 09:46:30,1887
2025-05-13 09:46:45,2166
2025-05-13 09:47:00,2362
2025-05-13 09:47:15,2538
2025-05-13 09:47:30,2569
2025-05-13 09:47:45,2457
2025-05-13 09:48:00,2435
2025-05-13 09:48:15,2397
2025-05-13 09:48:30,2408
2025-05-13 09:48:45,2491
2025-05-13 09:49:00,2567
2025-05-13 09:49:15,2652
2025-05-13 09:49:30,2736
2025-05-13 09:49:45,2817
2025-05-13 09:50:00,2908
2025-05-13 09:50:15,2990
2025-05-13 09:50:30,3077
2025-05-13 09:50:45,3164
2025-05-13 09:51:00,3231
2025-05-13 09:51:15,3329
2025-05-13 09:51:30,3421
2025-05-13 09:51:45,3500
2025-05-13 09:52:00,3576
2025-05-13 09:52:15,3866
2025-05-13 09:52:30,4089
2025-05-13 09:52:45,4391
2025-05-13 09:53:00,4693
2025-05-13 09:53:15,4901
2025-05-13 09:53:30,5171
2025-05-13 09:53:45,5268
2025-05-13 09:54:00,5368
2025-05-13 09:54:15,5367
2025-05-13 09:54:30,5413
2025-05-13 09:54:45,5488
2025-05-13 09:55:00,5580
2025-05-13 09:55:15,5649
2025-05-13 09:55:30,5738
2025-05-13 09:55:45,5825
2025-05-13 09:56:00,5905
2025-05-13 09:56:15,6004
2025-05-13 09:56:30,6094
2025-05-13 09:56:45,6120
2025-05-13 09:57:00,6094
2025-05-13 09:57:15,6067
2025-05-13 09:57:30,5977
2025-05-13 09:57:45,5917
2025-05-13 09:58:00,5861
2025-05-13 09:58:15,5805
2025-05-13 09:58:30,5736
2025-05-13 09:58:45,5837
2025-05-13 09:59:00,5910
2025-05-13 09:59:15,5989
2025-05-13 09:59:30,6079
2025-05-13 09:59:45,6163
2025-05-13 10:00:00,6250
2025-05-13 10:00:15,6336
2025-05-13 10:00:30,6410
2025-05-13 10:00:45,6473
2025-05-13 10:01:00,6551
2025-05-13 10:01:15,6636
2025-05-13 10:01:30,6700
2025-05-13 10:01:45,6781
2025-05-13 10:02:00,6866
2025-05-13 10:02:15,6961
2025-05-13 10:02:30,7042
2025-05-13 10:02:45,7127
2025-05-13 10:03:00,7330
2025-05-13 10:03:15,7504
2025-05-13 10:03:30,7689
2025-05-13 10:03:45,7932
2025-05-13 10:04:00,8141
2025-05-13 10:04:15,8421
2025-05-13 10:04:30,8738
2025-05-13 10:04:45,9148
2025-05-13 10:05:00,9416
2025-05-13 10:05:15,9659
2025-05-13 10:05:30,9846
2025-05-13 10:05:45,9902
2025-05-13 10:06:00,9937
2025-05-13 10:06:15,9972
2025-05-13 10:06:30,10074
2025-05-13 10:06:45,10320
2025-05-13 10:07:00,10823
2025-05-13 10:07:15,11363
2025-05-13 10:07:30,11793
2025-05-13 10:07:45,12003
2025-05-13 10:08:00,11875
2025-05-13 10:08:15,11653
2025-05-13 10:08:30,11338
2025-05-13 10:08:45,11098
2025-05-13 10:09:00,10982
2025-05-13 10:09:15,10959
2025-05-13 10:09:30,10826
2025-05-13 10:09:45,10642
2025-05-13 10:10:00,10429
2025-05-13 10:10:15,10187
2025-05-13 10:10:30,9990
2025-05-13 10:10:45,9853
2025-05-13 10:11:00,9763
2025-05-13 10:11:15,9629
2025-05-13 10:11:30,9538
2025-05-13 10:11:45,9407
2025-05-13 10:12:00,9254
2025-05-13 10:12:15,9193
2025-05-13 10:12:30,9134
2025-05-13 10:12:45,9146
2025-05-13 10:13:00,9161
2025-05-13 10:13:15,9172
2025-05-13 10:13:30,9134
2025-05-13 10:13:45,9075
2025-05-13 10:14:00,9021
2025-05-13 10:14:15,8995
2025-05-13 10:14:30,8992
2025-05-13 10:14:45,9024
2025-05-13 10:15:00,9137
2025-05-13 10:15:15,9264
2025-05-13 10:15:30,9360
2025-05-13 10:15:45,9400
2025-05-13 10:16:00,9387
2025-05-13 10:16:15,9421
2025-05-13 10:16:30,9493
2025-05-13 10:16:45,9562
2025-05-13 10:17:00,9581
2025-05-13 10:17:15,9580
2025-05-13 10:17:30,9607
2025-05-13 10:17:45,9685
2025-05-13 10:18:00,9742
2025-05-13 10:18:15,9780
2025-05-13 10:18:30,9830
2025-05-13 10:18:45,9840
2025-05-13 10:19:00,9849
2025-05-13 10:19:15,9873
2025-05-13 10:19:30,9877
2025-05-13 10:19:45,9881
2025-05-13 10:20:00,9858
2025-05-13 10:20:15,9831
2025-05-13 10:20:30,9814
2025-05-13 10:20:45,9865
2025-05-13 10:21:00,9885
2025-05-13 10:21:15,9842
2025-05-13 10:21:30,9756
2025-05-13 10:21:45,9671
2025-05-13 10:22:00,9647
2025-05-13 10:22:15,9679
2025-05-13 10:22:30,9723
2025-05-13 10:22:45,9785
2025-05-13 10:23:00,9849
2025-05-13 10:23:15,9879
2025-05-13 10:23:30,9879
2025-05-13 10:23:45,9879
2025-05-13 10:24:00,9861
2025-05-13 10:24:15,9867
2025-05-13 10:24:30,9897
2025-05-13 10:24:45,9954
2025-05-13 10:25:00,9991
