"Time","mimir-ingester-zone-b-5","mimir-ingester-zone-b-3","mimir-ingester-zone-c-0","mimir-ingester-zone-c-4","mimir-ingester-zone-b-4","mimir-ingester-zone-b-0","mimir-ingester-zone-c-5","mimir-ingester-zone-c-3","mimir-ingester-zone-b-2","mimir-ingester-zone-b-1","mimir-ingester-zone-a-4","mimir-ingester-zone-a-3","mimir-ingester-zone-c-1","mimir-ingester-zone-c-2","mimir-ingester-zone-a-0","mimir-ingester-zone-a-1","mimir-ingester-zone-a-2","mimir-ingester-zone-a-5"
2025-05-13 09:56:00,5340223,5492842,5514256,4911923,5396451,5527719,5007057,5679520,5383752,5278939,5502363,5321538,5381774,5725620,5497928,5455964,5731267,4772567
2025-05-13 09:56:30,5464084,5623122,5632668,5019574,5520121,5656683,5120094,5806211,5508534,5401828,5624389,5443430,5507119,5858502,5619838,5578419,5863897,4882705
2025-05-13 09:57:00,5584987,5746775,5764790,5131657,5643215,5782151,5237167,5936149,5627816,5513100,5749881,5565094,5620841,5980768,5746695,5701010,5991792,4989794
2025-05-13 09:57:30,5694925,5862390,5886262,5238098,5753508,5896202,5342687,6055245,5741962,5630625,5866181,5673224,5740408,6107738,5861539,5815970,6111503,5090173
2025-05-13 09:58:00,5815697,5969219,6002130,5341361,5875730,6010750,5453347,6181696,5859471,5742693,5981376,5792977,5854677,6228577,5984741,5934982,6236496,5189808
2025-05-13 09:58:30,5903397,6066260,6107200,5439200,5965407,6106151,5534580,6272728,5951085,5836353,6084442,5882584,5949877,6329345,6072395,6039948,6334595,5281605
2025-05-13 09:59:00,6019179,6184705,6213262,5534507,6080549,6223484,5644484,6398454,6065208,5950112,6196950,5996105,6065985,6454653,6193289,6149683,6456181,5381962
2025-05-13 09:59:30,6127294,6299374,6328626,5637690,6188747,6336968,5740713,6507657,6172378,6049502,6306827,6102679,6168351,6562956,6300639,6260338,6568996,5475105
2025-05-13 10:00:00,6233545,6409840,6448273,5746815,6297686,6450627,5847901,6627064,6281802,6168281,6427725,6210216,6289875,6690269,6416173,6384804,6684951,5576853
2025-05-13 10:00:30,6350496,6520911,6564272,5843793,6414370,6569270,5954804,6748285,6397789,6273143,6539728,6326048,6396459,6805618,6534424,6491629,6808207,5675030
