"Time","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 09:40:00,7.14 KiB,8.24 KiB,14.4 KiB
2025-05-13 09:40:30,3.90 KiB,4.67 KiB,6.09 KiB
2025-05-13 09:41:00,372 KiB,191 KiB,7.37 KiB
2025-05-13 09:41:30,821 KiB,726 KiB,785 KiB
2025-05-13 09:42:00,3.48 MiB,2.23 MiB,907 KiB
2025-05-13 09:42:30,5.38 MiB,5.64 MiB,4.84 MiB
2025-05-13 09:43:00,8.53 MiB,7.11 MiB,5.62 MiB
2025-05-13 09:43:30,9.93 MiB,10.3 MiB,9.50 MiB
2025-05-13 09:44:00,13.5 MiB,11.8 MiB,11.1 MiB
2025-05-13 09:44:30,14.7 MiB,14.2 MiB,14.8 MiB
2025-05-13 09:45:00,17.6 MiB,17.3 MiB,14.9 MiB
2025-05-13 09:45:30,20.2 MiB,19.0 MiB,18.6 MiB
2025-05-13 09:46:00,22.8 MiB,22.8 MiB,20.6 MiB
2025-05-13 09:46:30,24.9 MiB,23.2 MiB,23.1 MiB
2025-05-13 09:47:00,33.2 MiB,33.4 MiB,26.9 MiB
2025-05-13 09:47:30,35.1 MiB,34.4 MiB,35.6 MiB
2025-05-13 09:48:00,32.0 MiB,33.4 MiB,34.7 MiB
2025-05-13 09:48:30,33.5 MiB,32.8 MiB,32.4 MiB
2025-05-13 09:49:00,36.6 MiB,37.1 MiB,34.3 MiB
2025-05-13 09:49:30,38.5 MiB,37.2 MiB,38.0 MiB
2025-05-13 09:50:00,40.6 MiB,41.2 MiB,38.6 MiB
2025-05-13 09:50:30,42.4 MiB,41.0 MiB,41.5 MiB
2025-05-13 09:51:00,45.3 MiB,45.3 MiB,42.7 MiB
2025-05-13 09:51:30,47.0 MiB,45.9 MiB,45.9 MiB
2025-05-13 09:52:00,49.6 MiB,50.1 MiB,47.5 MiB
2025-05-13 09:52:30,55.4 MiB,53.5 MiB,50.4 MiB
2025-05-13 09:53:00,58.1 MiB,60.4 MiB,59.7 MiB
2025-05-13 09:53:30,59.4 MiB,57.6 MiB,58.6 MiB
2025-05-13 09:54:00,60.4 MiB,63.3 MiB,61.7 MiB
2025-05-13 09:54:30,56.3 MiB,55.3 MiB,55.8 MiB
2025-05-13 09:55:00,63.8 MiB,63.6 MiB,61.7 MiB
2025-05-13 09:55:30,65.1 MiB,64.0 MiB,63.9 MiB
2025-05-13 09:56:00,69.3 MiB,63.2 MiB,61.6 MiB
2025-05-13 09:56:30,63.6 MiB,68.0 MiB,67.9 MiB
2025-05-13 09:57:00,72.9 MiB,73.4 MiB,71.4 MiB
2025-05-13 09:57:30,73.7 MiB,74.3 MiB,73.1 MiB
2025-05-13 09:58:00,71.4 MiB,70.0 MiB,69.5 MiB
2025-05-13 09:58:30,77.2 MiB,78.1 MiB,77.3 MiB
2025-05-13 09:59:00,82.9 MiB,75.9 MiB,80.9 MiB
2025-05-13 09:59:30,75.5 MiB,76.7 MiB,74.8 MiB
2025-05-13 10:00:00,79.7 MiB,79.3 MiB,79.4 MiB
2025-05-13 10:00:30,87.7 MiB,86.4 MiB,79.7 MiB
2025-05-13 10:01:00,81.2 MiB,81.9 MiB,82.2 MiB
2025-05-13 10:01:30,85.0 MiB,85.8 MiB,82.7 MiB
2025-05-13 10:02:00,78.8 MiB,85.7 MiB,87.2 MiB
2025-05-13 10:02:30,81.7 MiB,87.9 MiB,86.2 MiB
2025-05-13 10:03:00,84.4 MiB,81.6 MiB,85.3 MiB
2025-05-13 10:03:30,86.2 MiB,90.8 MiB,84.0 MiB
2025-05-13 10:04:00,85.3 MiB,93.5 MiB,86.8 MiB
2025-05-13 10:04:30,94.0 MiB,88.4 MiB,87.2 MiB
2025-05-13 10:05:00,90.7 MiB,89.4 MiB,99.4 MiB
2025-05-13 10:05:30,95.6 MiB,93.9 MiB,103 MiB
2025-05-13 10:06:00,91.2 MiB,90.6 MiB,94.0 MiB
2025-05-13 10:06:30,92.2 MiB,91.2 MiB,98.6 MiB
2025-05-13 10:07:00,97.0 MiB,96.1 MiB,95.2 MiB
2025-05-13 10:07:30,101 MiB,105 MiB,102 MiB
2025-05-13 10:08:00,95.2 MiB,97.7 MiB,108 MiB
2025-05-13 10:08:30,94.7 MiB,96.2 MiB,101 MiB
2025-05-13 10:09:00,98.4 MiB,98.1 MiB,100 MiB
2025-05-13 10:09:30,94.8 MiB,103 MiB,102 MiB
2025-05-13 10:10:00,97.6 MiB,98.1 MiB,98.9 MiB
2025-05-13 10:10:30,97.2 MiB,101 MiB,102 MiB
2025-05-13 10:11:00,97.7 MiB,100 MiB,101 MiB
2025-05-13 10:11:30,98.3 MiB,101 MiB,112 MiB
2025-05-13 10:12:00,98.8 MiB,99.7 MiB,102 MiB
2025-05-13 10:12:30,97.8 MiB,99.4 MiB,105 MiB
2025-05-13 10:13:00,98.0 MiB,103 MiB,101 MiB
2025-05-13 10:13:30,98.0 MiB,103 MiB,105 MiB
2025-05-13 10:14:00,106 MiB,100 MiB,106 MiB
2025-05-13 10:14:30,99.0 MiB,103 MiB,107 MiB
2025-05-13 10:15:00,103 MiB,107 MiB,107 MiB
2025-05-13 10:15:30,104 MiB,103 MiB,108 MiB
2025-05-13 10:16:00,104 MiB,105 MiB,107 MiB
2025-05-13 10:16:30,99.4 MiB,102 MiB,103 MiB
2025-05-13 10:17:00,105 MiB,102 MiB,108 MiB
2025-05-13 10:17:30,100 MiB,106 MiB,105 MiB
