"Time","172.30.0.118:9100","172.30.0.120:9100","172.30.0.12:9100","172.30.0.20:9100","172.30.0.34:9100","172.30.0.37:9100","172.30.0.38:9100","172.30.0.60:9100","172.30.0.77:9100","172.30.0.84:9100","172.30.0.88:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 10:16:00,13.9 kp/s,16.5 kp/s,17.0 kp/s,14.3 kp/s,12.1 kp/s,18.2 kp/s,21.2 kp/s,136 kp/s,16.5 kp/s,165 kp/s,17.5 kp/s,30.5 kp/s,29.0 kp/s,30.5 kp/s
2025-05-13 10:16:30,17.3 kp/s,19.6 kp/s,17.0 kp/s,11.7 kp/s,14.5 kp/s,18.5 kp/s,19.8 kp/s,163 kp/s,18.7 kp/s,188 kp/s,18.8 kp/s,24.9 kp/s,31.2 kp/s,30.1 kp/s
2025-05-13 10:17:00,14.0 kp/s,19.3 kp/s,20.1 kp/s,,15.1 kp/s,20.9 kp/s,20.0 kp/s,147 kp/s,16.0 kp/s,165 kp/s,18.3 kp/s,25.9 kp/s,32.5 kp/s,30.2 kp/s
2025-05-13 10:17:30,11.0 kp/s,13.0 kp/s,,,11.3 kp/s,16.5 kp/s,14.2 kp/s,92.2 kp/s,11.2 kp/s,119 kp/s,12.9 kp/s,30.1 kp/s,29.7 kp/s,30.1 kp/s
2025-05-13 10:18:00,12.5 kp/s,15.1 kp/s,,7.08 kp/s,10.2 kp/s,13.0 kp/s,13.0 kp/s,103 kp/s,12.6 kp/s,136 kp/s,13.7 kp/s,27.1 kp/s,31.6 kp/s,32.1 kp/s
2025-05-13 10:18:30,12.4 kp/s,14.2 kp/s,,10.2 kp/s,11.3 kp/s,13.5 kp/s,13.6 kp/s,104 kp/s,13.7 kp/s,139 kp/s,14.4 kp/s,27.7 kp/s,29.3 kp/s,29.4 kp/s
2025-05-13 10:19:00,15.5 kp/s,17.5 kp/s,,10.4 kp/s,10.8 kp/s,15.4 kp/s,14.0 kp/s,114 kp/s,13.4 kp/s,144 kp/s,16.5 kp/s,26.0 kp/s,35.3 kp/s,30.7 kp/s
2025-05-13 10:19:30,12.1 kp/s,12.3 kp/s,,9.70 kp/s,10.4 kp/s,13.7 kp/s,13.7 kp/s,90.5 kp/s,12.0 kp/s,147 kp/s,12.9 kp/s,26.2 kp/s,28.9 kp/s,28.0 kp/s
2025-05-13 10:20:00,17.7 kp/s,20.8 kp/s,17.2 kp/s,13.5 kp/s,15.2 kp/s,20.0 kp/s,18.2 kp/s,174 kp/s,19.3 kp/s,209 kp/s,20.3 kp/s,27.1 kp/s,33.2 kp/s,29.3 kp/s
2025-05-13 10:20:30,15.4 kp/s,19.8 kp/s,15.6 kp/s,13.5 kp/s,14.2 kp/s,21.7 kp/s,21.2 kp/s,181 kp/s,16.0 kp/s,166 kp/s,18.5 kp/s,28.0 kp/s,30.1 kp/s,30.2 kp/s
2025-05-13 10:21:00,12.3 kp/s,14.8 kp/s,9.40 kp/s,11.3 kp/s,11.1 kp/s,13.8 kp/s,16.5 kp/s,114 kp/s,11.2 kp/s,137 kp/s,11.1 kp/s,30.1 kp/s,29.9 kp/s,31.8 kp/s
2025-05-13 10:21:30,13.4 kp/s,19.3 kp/s,9.14 kp/s,,12.0 kp/s,18.1 kp/s,16.6 kp/s,150 kp/s,16.8 kp/s,155 kp/s,13.0 kp/s,28.3 kp/s,32.0 kp/s,30.5 kp/s
2025-05-13 10:22:00,14.1 kp/s,14.7 kp/s,10.9 kp/s,,9.97 kp/s,12.4 kp/s,14.1 kp/s,129 kp/s,13.8 kp/s,134 kp/s,7.85 kp/s,28.0 kp/s,30.2 kp/s,31.9 kp/s
2025-05-13 10:22:30,12.5 kp/s,17.6 kp/s,,8.37 kp/s,10.00 kp/s,12.8 kp/s,14.0 kp/s,138 kp/s,14.1 kp/s,142 kp/s,8.36 kp/s,27.1 kp/s,29.2 kp/s,31.3 kp/s
2025-05-13 10:23:00,12.5 kp/s,11.4 kp/s,,9.79 kp/s,8.81 kp/s,14.0 kp/s,11.8 kp/s,95.0 kp/s,12.3 kp/s,135 kp/s,,28.0 kp/s,31.1 kp/s,31.0 kp/s
2025-05-13 10:23:30,12.9 kp/s,17.2 kp/s,9.46 kp/s,9.81 kp/s,10.8 kp/s,19.2 kp/s,15.2 kp/s,120 kp/s,13.8 kp/s,158 kp/s,,27.9 kp/s,29.9 kp/s,31.6 kp/s
2025-05-13 10:24:00,13.1 kp/s,17.1 kp/s,,10.8 kp/s,9.23 kp/s,17.1 kp/s,15.2 kp/s,116 kp/s,12.2 kp/s,156 kp/s,,27.8 kp/s,31.1 kp/s,32.0 kp/s
2025-05-13 10:24:30,16.9 kp/s,18.6 kp/s,,12.5 kp/s,12.1 kp/s,19.4 kp/s,20.6 kp/s,149 kp/s,14.7 kp/s,174 kp/s,,26.5 kp/s,30.4 kp/s,33.9 kp/s
2025-05-13 10:25:00,15.6 kp/s,17.2 kp/s,,,12.0 kp/s,17.9 kp/s,17.3 kp/s,131 kp/s,16.3 kp/s,151 kp/s,,27.9 kp/s,30.4 kp/s,33.0 kp/s
