"Time","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 09:40:00,818 MiB,873 MiB,1.24 GiB
2025-05-13 09:40:30,819 MiB,873 MiB,1.25 GiB
2025-05-13 09:41:00,875 MiB,903 MiB,1.25 GiB
2025-05-13 09:41:30,992 MiB,1023 MiB,1.37 GiB
2025-05-13 09:42:00,1.55 GiB,1.35 GiB,1.52 GiB
2025-05-13 09:42:30,2.32 GiB,2.12 GiB,2.18 GiB
2025-05-13 09:43:00,3.18 GiB,3.07 GiB,2.83 GiB
2025-05-13 09:43:30,3.87 GiB,3.89 GiB,3.64 GiB
2025-05-13 09:44:00,5.65 GiB,5.26 GiB,4.61 GiB
2025-05-13 09:44:30,7.33 GiB,6.49 GiB,6.37 GiB
2025-05-13 09:45:00,8.29 GiB,8.07 GiB,8.05 GiB
2025-05-13 09:45:30,9.46 GiB,9.23 GiB,8.75 GiB
2025-05-13 09:46:00,10.6 GiB,10.6 GiB,10.4 GiB
2025-05-13 09:46:30,11.9 GiB,11.2 GiB,11.2 GiB
2025-05-13 09:47:00,14.3 GiB,13.9 GiB,12.7 GiB
2025-05-13 09:47:30,17.5 GiB,16.8 GiB,15.6 GiB
2025-05-13 09:48:00,18.4 GiB,18.4 GiB,17.8 GiB
2025-05-13 09:48:30,19.0 GiB,19.7 GiB,18.8 GiB
2025-05-13 09:49:00,19.7 GiB,19.9 GiB,19.8 GiB
2025-05-13 09:49:30,21.1 GiB,21.4 GiB,21.2 GiB
2025-05-13 09:50:00,21.8 GiB,21.7 GiB,22.2 GiB
2025-05-13 09:50:30,22.1 GiB,22.7 GiB,22.9 GiB
2025-05-13 09:51:00,22.9 GiB,23.3 GiB,23.7 GiB
2025-05-13 09:51:30,24.2 GiB,24.2 GiB,24.3 GiB
2025-05-13 09:52:00,25.8 GiB,25.9 GiB,25.8 GiB
2025-05-13 09:52:30,28.0 GiB,27.8 GiB,27.1 GiB
2025-05-13 09:53:00,30.8 GiB,30.8 GiB,29.9 GiB
2025-05-13 09:53:30,27.0 GiB,25.9 GiB,24.1 GiB
2025-05-13 09:54:00,30.8 GiB,30.0 GiB,28.8 GiB
2025-05-13 09:54:30,26.4 GiB,27.0 GiB,25.8 GiB
2025-05-13 09:55:00,28.8 GiB,29.3 GiB,28.3 GiB
2025-05-13 09:55:30,30.8 GiB,30.8 GiB,30.5 GiB
2025-05-13 09:56:00,30.8 GiB,26.2 GiB,25.7 GiB
2025-05-13 09:56:30,27.3 GiB,27.9 GiB,27.0 GiB
2025-05-13 09:57:00,29.1 GiB,29.5 GiB,29.3 GiB
2025-05-13 09:57:30,30.8 GiB,30.8 GiB,30.8 GiB
2025-05-13 09:58:00,26.9 GiB,26.9 GiB,26.3 GiB
2025-05-13 09:58:30,29.1 GiB,29.0 GiB,28.5 GiB
2025-05-13 09:59:00,30.8 GiB,27.3 GiB,30.8 GiB
2025-05-13 09:59:30,29.6 GiB,29.9 GiB,29.2 GiB
2025-05-13 10:00:00,27.4 GiB,27.5 GiB,26.9 GiB
2025-05-13 10:00:30,30.6 GiB,30.8 GiB,30.5 GiB
2025-05-13 10:01:00,30.8 GiB,30.8 GiB,29.5 GiB
2025-05-13 10:01:30,30.2 GiB,30.0 GiB,29.3 GiB
2025-05-13 10:02:00,26.5 GiB,30.4 GiB,29.6 GiB
2025-05-13 10:02:30,27.2 GiB,30.8 GiB,29.8 GiB
2025-05-13 10:03:00,28.9 GiB,27.5 GiB,26.6 GiB
2025-05-13 10:03:30,27.0 GiB,30.4 GiB,28.9 GiB
2025-05-13 10:04:00,26.2 GiB,28.8 GiB,26.5 GiB
2025-05-13 10:04:30,30.2 GiB,27.9 GiB,30.8 GiB
2025-05-13 10:05:00,30.8 GiB,27.8 GiB,29.3 GiB
2025-05-13 10:05:30,30.8 GiB,28.2 GiB,30.6 GiB
2025-05-13 10:06:00,30.1 GiB,27.1 GiB,30.5 GiB
2025-05-13 10:06:30,28.7 GiB,30.7 GiB,30.3 GiB
2025-05-13 10:07:00,28.0 GiB,30.3 GiB,29.5 GiB
2025-05-13 10:07:30,29.4 GiB,30.2 GiB,29.3 GiB
2025-05-13 10:08:00,30.1 GiB,30.8 GiB,30.7 GiB
2025-05-13 10:08:30,30.8 GiB,30.8 GiB,30.4 GiB
2025-05-13 10:09:00,30.8 GiB,29.8 GiB,30.2 GiB
2025-05-13 10:09:30,29.4 GiB,28.7 GiB,30.8 GiB
2025-05-13 10:10:00,30.1 GiB,30.0 GiB,28.9 GiB
2025-05-13 10:10:30,30.0 GiB,30.7 GiB,30.0 GiB
2025-05-13 10:11:00,30.8 GiB,30.5 GiB,30.5 GiB
2025-05-13 10:11:30,29.3 GiB,30.8 GiB,30.5 GiB
2025-05-13 10:12:00,30.3 GiB,29.5 GiB,30.7 GiB
2025-05-13 10:12:30,29.7 GiB,28.4 GiB,29.2 GiB
2025-05-13 10:13:00,29.0 GiB,30.4 GiB,30.5 GiB
2025-05-13 10:13:30,29.9 GiB,29.0 GiB,30.1 GiB
2025-05-13 10:14:00,30.5 GiB,29.6 GiB,30.4 GiB
2025-05-13 10:14:30,30.1 GiB,28.8 GiB,28.7 GiB
2025-05-13 10:15:00,29.3 GiB,30.8 GiB,29.5 GiB
2025-05-13 10:15:30,30.8 GiB,30.2 GiB,28.9 GiB
2025-05-13 10:16:00,28.4 GiB,28.9 GiB,30.3 GiB
2025-05-13 10:16:30,30.3 GiB,28.4 GiB,29.3 GiB
2025-05-13 10:17:00,30.4 GiB,30.8 GiB,29.6 GiB
2025-05-13 10:17:30,30.0 GiB,30.1 GiB,30.0 GiB
2025-05-13 10:18:00,30.2 GiB,28.9 GiB,30.1 GiB
2025-05-13 10:18:30,30.8 GiB,30.1 GiB,30.9 GiB
2025-05-13 10:19:00,28.8 GiB,30.0 GiB,28.1 GiB
2025-05-13 10:19:30,30.4 GiB,29.1 GiB,28.6 GiB
2025-05-13 10:20:00,29.7 GiB,29.4 GiB,29.0 GiB
2025-05-13 10:20:30,30.2 GiB,29.3 GiB,28.7 GiB
2025-05-13 10:21:00,30.0 GiB,28.6 GiB,29.6 GiB
2025-05-13 10:21:30,29.4 GiB,28.4 GiB,29.5 GiB
2025-05-13 10:22:00,28.6 GiB,30.9 GiB,30.4 GiB
2025-05-13 10:22:30,29.0 GiB,28.3 GiB,30.4 GiB
2025-05-13 10:23:00,29.8 GiB,30.8 GiB,30.8 GiB
2025-05-13 10:23:30,30.0 GiB,28.7 GiB,30.8 GiB
2025-05-13 10:24:00,30.6 GiB,30.7 GiB,30.2 GiB
2025-05-13 10:24:30,29.8 GiB,28.8 GiB,30.0 GiB
2025-05-13 10:25:00,30.5 GiB,28.3 GiB,30.0 GiB
