"Time","172.30.0.118:9100","172.30.0.120:9100","172.30.0.12:9100","172.30.0.20:9100","172.30.0.34:9100","172.30.0.37:9100","172.30.0.38:9100","172.30.0.60:9100","172.30.0.77:9100","172.30.0.84:9100","172.30.0.88:9100"
2025-05-13 10:20:30,35.1 MiB,39.9 MiB,43.7 MiB,41.3 MiB,40.8 MiB,42.0 MiB,40.2 MiB,543 MiB,38.6 MiB,357 MiB,38.2 MiB
2025-05-13 10:21:00,27.7 MiB,27.9 MiB,26.6 MiB,29.4 MiB,27.9 MiB,26.6 MiB,30.5 MiB,307 MiB,24.2 MiB,289 MiB,17.8 MiB
2025-05-13 10:21:30,32.7 MiB,39.5 MiB,28.4 MiB,,34.2 MiB,37.2 MiB,33.1 MiB,334 MiB,39.6 MiB,338 MiB,39.2 MiB
2025-05-13 10:22:00,31.4 MiB,29.3 MiB,32.1 MiB,,26.6 MiB,24.3 MiB,28.5 MiB,495 MiB,29.6 MiB,283 MiB,25.4 MiB
2025-05-13 10:22:30,28.4 MiB,35.9 MiB,,21.7 MiB,28.7 MiB,26.2 MiB,28.1 MiB,451 MiB,31.6 MiB,305 MiB,26.7 MiB
2025-05-13 10:23:00,27.5 MiB,23.0 MiB,,25.6 MiB,24.4 MiB,28.0 MiB,22.9 MiB,193 MiB,26.1 MiB,287 MiB,
2025-05-13 10:23:30,30.9 MiB,34.3 MiB,31.0 MiB,29.3 MiB,30.6 MiB,38.4 MiB,29.6 MiB,253 MiB,32.1 MiB,340 MiB,
2025-05-13 10:24:00,31.5 MiB,33.9 MiB,,31.6 MiB,27.1 MiB,33.5 MiB,28.8 MiB,244 MiB,29.3 MiB,339 MiB,
2025-05-13 10:24:30,40.4 MiB,38.7 MiB,,41.1 MiB,37.4 MiB,40.3 MiB,41.9 MiB,324 MiB,37.2 MiB,379 MiB,
2025-05-13 10:25:00,35.9 MiB,35.3 MiB,,,34.5 MiB,35.5 MiB,35.0 MiB,275 MiB,36.3 MiB,320 MiB,
