"Time","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 02:00:00,711 MiB,680 MiB,821 MiB
2025-05-13 02:00:30,713 MiB,681 MiB,821 MiB
2025-05-13 02:01:00,713 MiB,682 MiB,821 MiB
2025-05-13 02:01:30,1012 MiB,895 MiB,901 MiB
2025-05-13 02:02:00,1.37 GiB,1.22 GiB,1.18 GiB
2025-05-13 02:02:30,2.25 GiB,1.85 GiB,1.59 GiB
2025-05-13 02:03:00,2.83 GiB,2.57 GiB,2.30 GiB
2025-05-13 02:03:30,3.54 GiB,3.54 GiB,3.04 GiB
2025-05-13 02:04:00,4.68 GiB,4.32 GiB,3.79 GiB
2025-05-13 02:04:30,5.98 GiB,5.75 GiB,5.03 GiB
2025-05-13 02:05:00,7.82 GiB,7.48 GiB,6.93 GiB
2025-05-13 02:05:30,8.31 GiB,8.56 GiB,8.24 GiB
2025-05-13 02:06:00,9.70 GiB,9.36 GiB,9.34 GiB
2025-05-13 02:06:30,10.7 GiB,9.74 GiB,10.3 GiB
2025-05-13 02:07:00,11.3 GiB,10.4 GiB,10.8 GiB
2025-05-13 02:07:30,13.3 GiB,12.6 GiB,11.9 GiB
2025-05-13 02:08:00,16.5 GiB,15.2 GiB,14.3 GiB
2025-05-13 02:08:30,18.2 GiB,17.4 GiB,16.8 GiB
2025-05-13 02:09:00,19.3 GiB,18.8 GiB,18.0 GiB
2025-05-13 02:09:30,20.4 GiB,19.8 GiB,19.1 GiB
2025-05-13 02:10:00,21.2 GiB,20.3 GiB,20.8 GiB
2025-05-13 02:10:30,21.9 GiB,21.0 GiB,21.0 GiB
2025-05-13 02:11:00,22.8 GiB,21.9 GiB,21.8 GiB
2025-05-13 02:11:30,23.0 GiB,22.4 GiB,22.3 GiB
2025-05-13 02:12:00,24.0 GiB,22.9 GiB,22.7 GiB
2025-05-13 02:12:30,25.4 GiB,24.2 GiB,24.2 GiB
2025-05-13 02:13:00,26.8 GiB,25.8 GiB,24.8 GiB
2025-05-13 02:13:30,29.2 GiB,28.0 GiB,26.7 GiB
2025-05-13 02:14:00,30.8 GiB,30.8 GiB,29.3 GiB
2025-05-13 02:14:30,24.3 GiB,23.6 GiB,30.8 GiB
2025-05-13 02:15:00,28.7 GiB,26.7 GiB,24.5 GiB
2025-05-13 02:15:30,25.5 GiB,30.8 GiB,29.4 GiB
2025-05-13 02:16:00,27.9 GiB,25.8 GiB,26.2 GiB
2025-05-13 02:16:30,30.4 GiB,28.6 GiB,28.9 GiB
2025-05-13 02:17:00,24.7 GiB,30.5 GiB,30.8 GiB
2025-05-13 02:17:30,26.2 GiB,30.5 GiB,25.5 GiB
2025-05-13 02:18:00,28.9 GiB,26.6 GiB,27.4 GiB
2025-05-13 02:18:30,30.2 GiB,28.4 GiB,29.4 GiB
2025-05-13 02:19:00,30.8 GiB,30.1 GiB,30.4 GiB
2025-05-13 02:19:30,25.2 GiB,25.5 GiB,30.8 GiB
2025-05-13 02:20:00,27.8 GiB,27.3 GiB,26.2 GiB
2025-05-13 02:20:30,29.9 GiB,30.0 GiB,28.9 GiB
2025-05-13 02:21:00,30.8 GiB,30.8 GiB,30.2 GiB
2025-05-13 02:21:30,27.6 GiB,30.5 GiB,30.8 GiB
2025-05-13 02:22:00,30.8 GiB,29.1 GiB,28.5 GiB
2025-05-13 02:22:30,27.8 GiB,27.2 GiB,30.8 GiB
2025-05-13 02:23:00,30.7 GiB,29.9 GiB,28.1 GiB
2025-05-13 02:23:30,28.5 GiB,27.4 GiB,27.1 GiB
2025-05-13 02:24:00,30.8 GiB,30.2 GiB,29.9 GiB
2025-05-13 02:24:30,28.2 GiB,27.2 GiB,27.2 GiB
2025-05-13 02:25:00,30.2 GiB,30.3 GiB,29.9 GiB
2025-05-13 02:25:30,30.6 GiB,29.9 GiB,29.9 GiB
2025-05-13 02:26:00,29.1 GiB,27.6 GiB,27.8 GiB
2025-05-13 02:26:30,27.8 GiB,30.6 GiB,27.8 GiB
2025-05-13 02:27:00,27.5 GiB,29.6 GiB,30.8 GiB
2025-05-13 02:27:30,30.7 GiB,28.5 GiB,30.7 GiB
2025-05-13 02:28:00,30.7 GiB,28.9 GiB,29.3 GiB
2025-05-13 02:28:30,28.9 GiB,27.8 GiB,27.3 GiB
2025-05-13 02:29:00,27.1 GiB,27.2 GiB,26.6 GiB
2025-05-13 02:29:30,30.5 GiB,30.8 GiB,30.8 GiB
2025-05-13 02:30:00,30.4 GiB,30.0 GiB,28.6 GiB
2025-05-13 02:30:30,28.9 GiB,28.6 GiB,27.3 GiB
2025-05-13 02:31:00,27.5 GiB,30.8 GiB,30.8 GiB
2025-05-13 02:31:30,30.0 GiB,29.9 GiB,29.9 GiB
2025-05-13 02:32:00,27.7 GiB,28.7 GiB,28.2 GiB
2025-05-13 02:32:30,29.5 GiB,27.5 GiB,26.8 GiB
2025-05-13 02:33:00,30.3 GiB,26.8 GiB,30.2 GiB
2025-05-13 02:33:30,29.3 GiB,30.0 GiB,28.6 GiB
2025-05-13 02:34:00,27.0 GiB,29.6 GiB,28.6 GiB
2025-05-13 02:34:30,30.5 GiB,27.6 GiB,27.1 GiB
2025-05-13 02:35:00,29.2 GiB,26.9 GiB,30.7 GiB
2025-05-13 02:35:30,27.6 GiB,30.7 GiB,28.4 GiB
2025-05-13 02:36:00,27.9 GiB,26.3 GiB,28.7 GiB
2025-05-13 02:36:30,28.2 GiB,26.4 GiB,29.3 GiB
2025-05-13 02:37:00,27.6 GiB,27.2 GiB,28.9 GiB
2025-05-13 02:37:30,27.8 GiB,27.5 GiB,29.4 GiB
2025-05-13 02:38:00,27.3 GiB,26.7 GiB,29.8 GiB
2025-05-13 02:38:30,26.0 GiB,30.7 GiB,29.8 GiB
2025-05-13 02:39:00,29.2 GiB,28.7 GiB,27.9 GiB
2025-05-13 02:39:30,27.4 GiB,30.3 GiB,30.8 GiB
2025-05-13 02:40:00,28.0 GiB,27.1 GiB,29.0 GiB
2025-05-13 02:40:30,30.6 GiB,30.2 GiB,30.0 GiB
2025-05-13 02:41:00,27.8 GiB,26.0 GiB,28.2 GiB
2025-05-13 02:41:30,30.3 GiB,28.3 GiB,29.5 GiB
2025-05-13 02:42:00,27.1 GiB,30.3 GiB,28.2 GiB
2025-05-13 02:42:30,28.1 GiB,26.7 GiB,28.2 GiB
2025-05-13 02:43:00,30.1 GiB,28.3 GiB,29.5 GiB
2025-05-13 02:43:30,27.6 GiB,29.9 GiB,27.4 GiB
2025-05-13 02:44:00,29.4 GiB,26.4 GiB,28.8 GiB
2025-05-13 02:44:30,30.8 GiB,30.2 GiB,30.6 GiB
