"Time","172.30.0.108:9100","172.30.0.10:9100","172.30.0.17:9100","172.30.0.22:9100","172.30.0.24:9100","172.30.0.44:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 02:14:30,19.2 MiB,20.1 MiB,32.6 MiB,18.3 MiB,78.8 MiB,20.5 MiB,19.4 MiB,213 MiB,199 MiB,51.8 MiB,53.4 MiB,63.2 MiB
2025-05-13 02:15:00,17.2 MiB,21.0 MiB,38.6 MiB,19.9 MiB,82.3 MiB,19.3 MiB,22.4 MiB,187 MiB,218 MiB,62.1 MiB,60.2 MiB,52.9 MiB
2025-05-13 02:15:30,22.9 MiB,23.7 MiB,27.8 MiB,23.8 MiB,90.1 MiB,22.7 MiB,22.1 MiB,229 MiB,197 MiB,57.5 MiB,67.9 MiB,64.3 MiB
2025-05-13 02:16:00,19.9 MiB,23.1 MiB,14.8 MiB,22.9 MiB,84.8 MiB,20.1 MiB,21.6 MiB,188 MiB,217 MiB,58.9 MiB,57.3 MiB,58.4 MiB
2025-05-13 02:16:30,25.3 MiB,21.7 MiB,13.0 MiB,22.8 MiB,85.6 MiB,22.3 MiB,22.6 MiB,235 MiB,194 MiB,61.5 MiB,60.9 MiB,60.6 MiB
2025-05-13 02:17:00,24.4 MiB,25.4 MiB,33.1 MiB,23.1 MiB,95.7 MiB,25.3 MiB,24.9 MiB,257 MiB,245 MiB,61.0 MiB,64.1 MiB,63.0 MiB
2025-05-13 02:17:30,22.5 MiB,24.1 MiB,43.8 MiB,24.0 MiB,89.0 MiB,21.4 MiB,23.6 MiB,214 MiB,244 MiB,63.2 MiB,68.1 MiB,59.8 MiB
2025-05-13 02:18:00,21.7 MiB,23.3 MiB,22.8 MiB,20.7 MiB,87.1 MiB,21.5 MiB,18.8 MiB,205 MiB,218 MiB,68.0 MiB,59.8 MiB,66.8 MiB
2025-05-13 02:18:30,24.6 MiB,23.1 MiB,22.7 MiB,23.4 MiB,92.7 MiB,24.2 MiB,24.3 MiB,250 MiB,197 MiB,70.1 MiB,68.3 MiB,68.5 MiB
2025-05-13 02:19:00,23.1 MiB,27.1 MiB,34.2 MiB,26.6 MiB,102 MiB,24.3 MiB,24.8 MiB,252 MiB,256 MiB,71.9 MiB,72.3 MiB,70.3 MiB
2025-05-13 02:19:30,22.9 MiB,24.2 MiB,47.2 MiB,26.9 MiB,98.7 MiB,24.9 MiB,23.0 MiB,252 MiB,259 MiB,69.5 MiB,69.0 MiB,72.1 MiB
2025-05-13 02:20:00,25.8 MiB,22.3 MiB,43.3 MiB,26.2 MiB,94.5 MiB,23.8 MiB,21.6 MiB,251 MiB,248 MiB,67.9 MiB,68.2 MiB,67.6 MiB
2025-05-13 02:20:30,27.5 MiB,24.8 MiB,44.0 MiB,26.2 MiB,103 MiB,25.3 MiB,25.3 MiB,264 MiB,255 MiB,75.3 MiB,75.5 MiB,75.1 MiB
2025-05-13 02:21:00,26.0 MiB,27.9 MiB,46.8 MiB,27.8 MiB,101 MiB,22.2 MiB,26.2 MiB,268 MiB,271 MiB,74.6 MiB,74.9 MiB,75.1 MiB
2025-05-13 02:21:30,24.6 MiB,27.9 MiB,47.1 MiB,23.7 MiB,97.7 MiB,22.3 MiB,23.0 MiB,249 MiB,268 MiB,70.1 MiB,72.4 MiB,75.4 MiB
2025-05-13 02:22:00,26.5 MiB,26.5 MiB,41.2 MiB,24.9 MiB,102 MiB,24.6 MiB,25.2 MiB,274 MiB,241 MiB,75.3 MiB,73.0 MiB,69.7 MiB
2025-05-13 02:22:30,26.4 MiB,26.5 MiB,47.8 MiB,26.8 MiB,105 MiB,24.6 MiB,26.9 MiB,264 MiB,277 MiB,73.2 MiB,74.9 MiB,77.9 MiB
2025-05-13 02:23:00,26.8 MiB,25.7 MiB,46.6 MiB,25.4 MiB,106 MiB,29.4 MiB,26.5 MiB,273 MiB,263 MiB,79.8 MiB,74.1 MiB,74.2 MiB
2025-05-13 02:23:30,22.5 MiB,27.4 MiB,48.0 MiB,25.7 MiB,106 MiB,23.6 MiB,24.6 MiB,270 MiB,273 MiB,74.5 MiB,77.3 MiB,76.8 MiB
2025-05-13 02:24:00,7.90 MiB,22.1 MiB,45.8 MiB,16.7 MiB,76.5 MiB,12.5 MiB,11.1 MiB,103 MiB,265 MiB,77.8 MiB,74.5 MiB,75.7 MiB
