"Time","count(synthetic_metric_0{label_0=""value_0"", label_1=""value_1""})"
2025-05-13 02:01:00,8
2025-05-13 02:01:15,52
2025-05-13 02:01:30,87
2025-05-13 02:01:45,134
2025-05-13 02:02:00,175
2025-05-13 02:02:15,277
2025-05-13 02:02:30,353
2025-05-13 02:02:45,422
2025-05-13 02:03:00,496
2025-05-13 02:03:15,558
2025-05-13 02:03:30,642
2025-05-13 02:03:45,730
2025-05-13 02:04:00,896
2025-05-13 02:04:15,973
2025-05-13 02:04:30,1044
2025-05-13 02:04:45,1103
2025-05-13 02:05:00,1107
2025-05-13 02:05:15,1179
2025-05-13 02:05:30,1260
2025-05-13 02:05:45,1334
2025-05-13 02:06:00,1427
2025-05-13 02:06:15,1520
2025-05-13 02:06:30,1593
2025-05-13 02:06:45,1663
2025-05-13 02:07:00,1710
2025-05-13 02:07:15,1874
2025-05-13 02:07:30,2055
2025-05-13 02:07:45,2217
2025-05-13 02:08:00,2297
2025-05-13 02:08:15,2312
2025-05-13 02:08:30,2283
2025-05-13 02:08:45,2279
2025-05-13 02:09:00,2352
2025-05-13 02:09:15,2430
2025-05-13 02:09:30,2513
2025-05-13 02:09:45,2584
2025-05-13 02:10:00,2664
2025-05-13 02:10:15,2741
2025-05-13 02:10:30,2837
2025-05-13 02:10:45,2899
2025-05-13 02:11:00,2996
2025-05-13 02:11:15,3069
2025-05-13 02:11:30,3149
2025-05-13 02:11:45,3230
2025-05-13 02:12:00,3309
2025-05-13 02:12:15,3386
2025-05-13 02:12:30,3462
2025-05-13 02:12:45,3530
2025-05-13 02:13:00,3616
2025-05-13 02:13:15,3865
2025-05-13 02:13:30,4197
2025-05-13 02:13:45,4523
2025-05-13 02:14:00,4787
2025-05-13 02:14:15,4762
2025-05-13 02:14:30,4776
2025-05-13 02:14:45,4829
2025-05-13 02:15:00,4975
2025-05-13 02:15:15,5204
2025-05-13 02:15:30,5261
2025-05-13 02:15:45,5327
2025-05-13 02:16:00,5341
2025-05-13 02:16:15,5366
2025-05-13 02:16:30,5449
2025-05-13 02:16:45,5532
2025-05-13 02:17:00,5626
2025-05-13 02:17:15,5714
2025-05-13 02:17:30,5770
2025-05-13 02:17:45,5836
2025-05-13 02:18:00,5844
2025-05-13 02:18:15,5809
2025-05-13 02:18:30,5750
2025-05-13 02:18:45,5704
2025-05-13 02:19:00,5683
2025-05-13 02:19:15,5718
2025-05-13 02:19:30,5672
2025-05-13 02:19:45,5593
2025-05-13 02:20:00,5527
2025-05-13 02:20:15,5462
2025-05-13 02:20:30,5490
2025-05-13 02:20:45,5500
2025-05-13 02:21:00,5505
2025-05-13 02:21:15,5519
2025-05-13 02:21:30,5543
2025-05-13 02:21:45,5600
2025-05-13 02:22:00,5652
2025-05-13 02:22:15,5720
2025-05-13 02:22:30,5795
2025-05-13 02:22:45,5858
2025-05-13 02:23:00,5911
2025-05-13 02:23:15,5955
2025-05-13 02:23:30,5995
2025-05-13 02:23:45,6020
2025-05-13 02:24:00,6056
2025-05-13 02:24:15,6105
2025-05-13 02:24:30,6169
2025-05-13 02:24:45,6224
2025-05-13 02:25:00,6281
2025-05-13 02:25:15,6313
2025-05-13 02:25:30,6363
2025-05-13 02:25:45,6408
2025-05-13 02:26:00,6451
2025-05-13 02:26:15,6474
2025-05-13 02:26:30,6486
2025-05-13 02:26:45,6498
2025-05-13 02:27:00,6499
2025-05-13 02:27:15,6499
2025-05-13 02:27:30,6499
2025-05-13 02:27:45,6499
2025-05-13 02:28:00,6499
2025-05-13 02:28:15,6500
2025-05-13 02:28:30,6500
2025-05-13 02:28:45,6500
2025-05-13 02:29:00,6500
2025-05-13 02:29:15,6500
2025-05-13 02:29:30,6500
2025-05-13 02:29:45,6500
2025-05-13 02:30:00,6500
2025-05-13 02:30:15,6500
2025-05-13 02:30:30,6500
2025-05-13 02:30:45,6500
2025-05-13 02:31:00,6500
2025-05-13 02:31:15,6500
2025-05-13 02:31:30,6500
2025-05-13 02:31:45,6500
2025-05-13 02:32:00,6500
2025-05-13 02:32:15,6500
2025-05-13 02:32:30,6500
2025-05-13 02:32:45,6500
2025-05-13 02:33:00,6500
2025-05-13 02:33:15,6499
2025-05-13 02:33:30,6499
2025-05-13 02:33:45,6499
2025-05-13 02:34:00,6502
2025-05-13 02:34:15,6509
2025-05-13 02:34:30,6519
2025-05-13 02:34:45,6522
2025-05-13 02:35:00,6527
2025-05-13 02:35:15,6538
2025-05-13 02:35:30,6585
2025-05-13 02:35:45,6653
2025-05-13 02:36:00,6744
2025-05-13 02:36:15,6829
2025-05-13 02:36:30,6895
2025-05-13 02:36:45,6951
2025-05-13 02:37:00,6971
2025-05-13 02:37:15,6970
2025-05-13 02:37:30,6974
2025-05-13 02:37:45,7000
2025-05-13 02:38:00,7000
2025-05-13 02:38:15,7000
2025-05-13 02:38:30,7000
2025-05-13 02:38:45,7000
2025-05-13 02:39:00,7005
2025-05-13 02:39:15,7040
2025-05-13 02:39:30,7072
2025-05-13 02:39:45,7103
2025-05-13 02:40:00,7181
2025-05-13 02:40:15,7354
2025-05-13 02:40:30,7512
2025-05-13 02:40:45,7623
2025-05-13 02:41:00,7721
2025-05-13 02:41:15,7732
2025-05-13 02:41:30,7709
2025-05-13 02:41:45,7584
2025-05-13 02:42:00,7440
2025-05-13 02:42:15,7319
2025-05-13 02:42:30,7354
2025-05-13 02:42:45,7516
2025-05-13 02:43:00,7736
2025-05-13 02:43:15,7972
2025-05-13 02:43:30,7975
2025-05-13 02:43:45,7975
2025-05-13 02:44:00,7937
2025-05-13 02:44:15,7808
2025-05-13 02:44:30,7687
2025-05-13 02:44:45,7472
2025-05-13 02:45:00,7408
