"Time","177.93.133.115:19090","177.93.133.115:19091","177.93.133.115:19092","177.93.133.115:19093","177.93.133.115:19094","177.93.133.115:19095","177.93.133.115:19096","177.93.133.115:19097","177.93.133.115:19098","177.93.133.115:19099","177.93.133.115:19100"
2025-05-13 02:00:00,0,,,,,,,,,,
2025-05-13 02:00:30,0,,,,,,,,,,
2025-05-13 02:01:00,0,,,,,,,,,,
2025-05-13 02:01:30,116145,,,,,,,,,,
2025-05-13 02:02:00,404505,,,,,,,,,,
2025-05-13 02:02:30,857070,,,,,,,,,,
2025-05-13 02:03:00,1469835,,,,,,,,,,
2025-05-13 02:03:30,2094615,,,,,,,,,,
2025-05-13 02:04:00,2739420,567128,,,,,,,,,
2025-05-13 02:04:30,3208005,1618020,,,,,,,,,
2025-05-13 02:05:00,3468330,2232883,,,,,,,,,
2025-05-13 02:05:30,3840795,2551185,,,,,,,,,
2025-05-13 02:06:00,4137165,2879595,,,,,,,,,
2025-05-13 02:06:30,4441545,3179970,,,,,,,,,
2025-05-13 02:07:00,4757940,3432285,116145,,,,,,,,
2025-05-13 02:07:30,5042295,3719071,1257570,696870,,,,,,,
2025-05-13 02:08:00,5214510,3952935,2083753,1751376,,,,,,,
2025-05-13 02:08:30,5370705,4105125,2246805,2154690,,,,,,,
2025-05-13 02:09:00,5530905,4221270,2431035,2350935,,,,,,,
2025-05-13 02:09:30,5663070,4353435,2603250,2543175,,,,,,,
2025-05-13 02:10:00,5847300,4489605,2771460,2687355,,,,,,,
2025-05-13 02:10:30,6019515,4657815,2967705,2843550,,,,,,,
2025-05-13 02:11:00,6155685,4830030,3079845,3019770,,,,,,,
2025-05-13 02:11:30,6323895,4994235,3248055,3179970,,,,,,,
2025-05-13 02:12:00,6508125,5122395,3400245,3324150,,,,,,,
2025-05-13 02:12:30,6672330,5258565,3556440,3500370,,,,,,,
2025-05-13 02:13:00,6864570,5410755,3728655,3624525,,,,,,,
2025-05-13 02:13:30,7004745,5570955,3840795,3788730,752940,0,,,,,
2025-05-13 02:14:00,7204995,5671080,4025025,3908880,1814265,929160,,,,,
2025-05-13 02:14:30,7305120,5723145,4049055,3972960,2078595,1962450,68085,,,,
2025-05-13 02:15:00,825030,5811255,4089105,4037040,2122650,2042550,1005255,,,,
2025-05-13 02:15:30,1826280,108135,4157190,4089105,2218770,2066580,2001175,644805,,,
2025-05-13 02:16:00,2194740,1170943,4245300,4161195,2282850,2122650,2102625,1561950,,,
2025-05-13 02:16:30,2278845,2174715,4305375,4205250,2390985,2218770,2190735,2006505,,,
2025-05-13 02:17:00,2342925,2246805,4365450,0,2487105,2298870,2286855,2074590,,,
2025-05-13 02:17:30,2407005,2302875,4445550,1193490,2587230,2382975,2362950,2130660,,,
2025-05-13 02:18:00,2471085,2358945,4557690,2407005,2655315,2483100,2419020,2194740,,,
2025-05-13 02:18:30,2551185,2435040,4629780,2471085,2723400,2551185,2503125,2262825,,,
2025-05-13 02:19:00,2627280,2543175,4693860,2515140,2775465,2643300,2539170,2302875,,,
2025-05-13 02:19:30,2719395,2603250,76095,2591235,2835540,2691360,2607255,2394990,,,
2025-05-13 02:20:00,2779470,2627280,1429258,2651310,2955690,2763450,2635290,2463075,,,
2025-05-13 02:20:30,2811510,2659320,2847555,2651310,2955690,2847555,2687355,2515140,,,
2025-05-13 02:21:00,2831535,2659320,2847555,2655315,2955690,2847555,2687355,2535165,,,
2025-05-13 02:21:30,2831535,2667330,2859570,2687355,268335,2847555,2687355,2547180,,,
2025-05-13 02:22:00,2867580,2755440,2915640,2731410,1626030,2875590,2739420,2555190,,,
2025-05-13 02:22:30,2949171,2823525,2999745,2811510,3103875,2907630,2775465,2635290,,,
2025-05-13 02:23:00,3039795,2875590,3055815,2903625,3175965,336420,2827530,2723400,,,
2025-05-13 02:23:30,3088099,2919645,3103875,2923650,3240045,1874340,2879595,2755440,,,
2025-05-13 02:24:00,3143925,2955690,3143925,2951685,3276090,3087855,2887605,2779470,,,
